CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	83	38	68.60	121
2	131	74	63.90	205
3	122	67	64.55	189
4	91	74	55.15	165
5	62	75	45.26	137
6	41	46	47.13	87
7	49	41	54.44	90
8	57	50	53.27	107
9	62	53	53.91	115
10	67	42	61.47	109
11	70	37	65.42	107
12	108	39	73.47	147
13	83	38	68.60	121
14	88	43	67.18	131
15	75	50	60.00	125
16	86	58	59.72	144
17	98	46	68.06	144
18	84	40	67.74	124
19	73	50	59.35	123
20	97	49	66.44	146
21	87	39	69.05	126
22	85	44	65.89	129
23	91	28	76.47	119
24	96	52	64.86	148
25	88	39	69.29	127
26	83	35	70.34	118
27	82	45	64.57	127
28	87	53	62.14	140
29	94	51	64.83	145
30	85	38	69.11	123
31	91	40	69.47	131
32	91	36	71.65	127
33	89	31	74.17	120
34	93	40	69.92	133
35	107	49	68.59	156
36	92	47	66.19	139
37	74	46	61.67	120
38	103	42	71.03	145
39	87	40	68.50	127
40	79	49	61.72	128
41	92	47	66.19	139
42	85	48	63.91	133
43	83	40	67.48	123
44	106	49	68.39	155
45	95	39	70.90	134
46	112	39	74.17	151
47	87	45	65.91	132
48	96	39	71.11	135
49	87	41	67.97	128
50	96	49	66.21	145
51	97	38	71.85	135
52	94	37	71.76	131
53	88	43	67.18	131
54	93	45	67.39	138
55	81	47	63.28	128
56	99	43	69.72	142
57	77	29	72.64	106
58	101	36	73.72	137
59	71	49	59.17	120
60	72	41	63.72	113
61	92	46	66.67	138
62	74	42	63.79	116
63	87	29	75.00	116
64	68	34	66.67	102
65	69	36	65.71	105
66	77	34	69.37	111
67	74	34	68.52	108
68	67	32	67.68	99
69	84	43	66.14	127
70	79	44	64.23	123
71	82	48	63.08	130
72	66	39	62.86	105
73	81	29	73.64	110
74	68	33	67.33	101
75	74	35	67.89	109
76	60	36	62.50	96
77	78	25	75.73	103
78	79	40	66.39	119
79	49	30	62.03	79
80	65	46	58.56	111
81	47	36	56.63	83
82	63	32	66.32	95
83	70	35	66.67	105
84	57	25	69.51	82
85	53	32	62.35	85
86	55	24	69.62	79
87	78	29	72.90	107
88	55	23	70.51	78
89	61	34	64.21	95
90	58	27	68.24	85
91	54	33	62.07	87
92	49	33	59.76	82
93	51	27	65.38	78
94	45	32	58.44	77
95	41	26	61.19	67
96	42	21	66.67	63
97	48	37	56.47	85
98	40	30	57.14	70
99	41	17	70.69	58
100	10	12	45.45	22

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	75	299	20.05	374
2	34	115	22.82	149
3	32	203	13.62	235
4	14	213	6.17	227
5	10	268	3.60	278
6	4	312	1.27	316
7	4	179	2.19	183
8	7	192	3.52	199
9	4	203	1.93	207
10	5	189	2.58	194
11	9	177	4.84	186
12	4	205	1.91	209
13	3	228	1.30	231
14	2	224	0.88	226
15	5	208	2.35	213
