CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	96	56	63.16	152
2	123	67	64.74	190
3	128	78	62.14	206
4	78	85	47.85	163
5	70	73	48.95	143
6	54	58	48.21	112
7	62	51	54.87	113
8	76	51	59.84	127
9	66	48	57.89	114
10	75	41	64.66	116
11	96	43	69.06	139
12	111	60	64.91	171
13	98	49	66.67	147
14	95	55	63.33	150
15	102	44	69.86	146
16	80	42	65.57	122
17	111	62	64.16	173
18	96	40	70.59	136
19	109	34	76.22	143
20	96	49	66.21	145
21	103	49	67.76	152
22	97	52	65.10	149
23	98	48	67.12	146
24	110	56	66.27	166
25	116	42	73.42	158
26	105	49	68.18	154
27	101	48	67.79	149
28	87	46	65.41	133
29	118	45	72.39	163
30	101	56	64.33	157
31	92	32	74.19	124
32	91	53	63.19	144
33	109	57	65.66	166
34	88	47	65.19	135
35	110	62	63.95	172
36	99	33	75.00	132
37	110	60	64.71	170
38	117	53	68.82	170
39	105	47	69.08	152
40	80	54	59.70	134
41	88	44	66.67	132
42	97	52	65.10	149
43	108	51	67.92	159
44	99	55	64.29	154
45	91	43	67.91	134
46	110	44	71.43	154
47	109	50	68.55	159
48	94	48	66.20	142
49	115	40	74.19	155
50	118	50	70.24	168
51	105	54	66.04	159
52	94	49	65.73	143
53	110	49	69.18	159
54	91	42	68.42	133
55	78	35	69.03	113
56	95	45	67.86	140
57	100	51	66.23	151
58	96	53	64.43	149
59	91	55	62.33	146
60	88	44	66.67	132
61	82	38	68.33	120
62	92	48	65.71	140
63	82	30	73.21	112
64	96	52	64.86	148
65	69	40	63.30	109
66	88	53	62.41	141
67	80	41	66.12	121
68	80	39	67.23	119
69	83	47	63.85	130
70	73	41	64.04	114
71	88	51	63.31	139
72	75	45	62.50	120
73	72	40	64.29	112
74	78	39	66.67	117
75	61	37	62.24	98
76	73	29	71.57	102
77	74	39	65.49	113
78	78	35	69.03	113
79	69	34	66.99	103
80	77	45	63.11	122
81	64	38	62.75	102
82	75	50	60.00	125
83	73	44	62.39	117
84	59	41	59.00	100
85	59	38	60.82	97
86	57	34	62.64	91
87	56	37	60.22	93
88	55	35	61.11	90
89	50	40	55.56	90
90	54	35	60.67	89
91	56	31	64.37	87
92	58	26	69.05	84
93	56	26	68.29	82
94	52	34	60.47	86
95	51	25	67.11	76
96	51	31	62.20	82
97	44	38	53.66	82
98	39	29	57.35	68
99	40	33	54.79	73
100	8	14	36.36	22

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	78	439	15.09	517
2	23	123	15.75	146
3	30	190	13.64	220
4	21	253	7.66	274
5	22	312	6.59	334
6	9	335	2.62	344
7	3	219	1.35	222
8	8	232	3.33	240
9	0	218	0.00	218
10	10	196	4.85	206
11	18	234	7.14	252
12	6	213	2.74	219
13	10	236	4.07	246
14	8	233	3.32	241
15	9	226	3.83	235
16	4	242	1.63	246
17	4	211	1.86	215
18	8	279	2.79	287
19	6	268	2.19	274
20	8	204	3.77	212
21	5	268	1.83	273
22	6	258	2.27	264
23	5	230	2.13	235
24	5	254	1.93	259
25	7	256	2.66	263
26	6	243	2.41	249
27	3	224	1.32	227
28	5	239	2.05	244
29	3	279	1.06	282
30	5	243	2.02	248
31	5	264	1.86	269
32	3	230	1.29	233
33	1	246	0.40	247
34	3	293	1.01	296
35	5	239	2.05	244
36	6	262	2.24	268
37	3	243	1.22	246
38	3	245	1.21	248
39	5	254	1.93	259
40	6	257	2.28	263
41	7	262	2.60	269
42	6	260	2.26	266
43	4	272	1.45	276
44	10	254	3.79	264
45	4	253	1.56	257
46	5	239	2.05	244
47	7	245	2.78	252
48	5	239	2.05	244
49	5	245	2.00	250
50	6	253	2.32	259
51	1	273	0.36	274
52	8	240	3.23	248
53	2	252	0.79	254
54	3	247	1.20	250
55	8	253	3.07	261
