"","Genbank","Uniprot","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","DMLchromosome","DMLstart","DMLend","DMLstrand","methDiff","intronChromosome","intronStart","intronEnd","mRNAchromosome","Gnomon","mRNA","mRNAstart","mRNAend","V14","mRNAstrand","V15","V16","V17","ID","Parent","Dbxref=GeneID","V22","Name","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1","XM_022430339.1","sp|P00491|PNPH_HUMAN",49.29,282,143,0,116,961,1,282,2e-96,310,"NC_035784.1",52846430,52846432,"-",-57,"NC_035784.1",52843922,52847356,"NC_035784.1","Gnomon","mRNA",52837345,52858470,".","-",".","ID=rna34958;Parent=gene20289;Dbxref=GeneID:111138521,Genbank:XM_022430339.1;Name=XM_022430339.1;gbkey=mRNA;gene=LOC111138521;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=purine nucleoside phosphorylase-like%2C transcript variant X3;transcript_id=XM_022430339.1",2,"ID=rna34958","Parent=gene20289","Dbxref=GeneID:111138521","Genbank","Name=XM_022430339.1","gbkey=mRNA","gene=LOC111138521","model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=purine nucleoside phosphorylase-like%2C transcript variant X3","transcript_id=XM_022430339.1","","","","",""
"2","XM_022430339.1","sp|P00491|PNPH_HUMAN",49.29,282,143,0,116,961,1,282,2e-96,310,"NC_035784.1",52846339,52846341,"-",-53,"NC_035784.1",52843922,52847356,"NC_035784.1","Gnomon","mRNA",52837345,52858470,".","-",".","ID=rna34958;Parent=gene20289;Dbxref=GeneID:111138521,Genbank:XM_022430339.1;Name=XM_022430339.1;gbkey=mRNA;gene=LOC111138521;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns;product=purine nucleoside phosphorylase-like%2C transcript variant X3;transcript_id=XM_022430339.1",2,"ID=rna34958","Parent=gene20289","Dbxref=GeneID:111138521","Genbank","Name=XM_022430339.1","gbkey=mRNA","gene=LOC111138521","model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 11 samples with support for all annotated introns","product=purine nucleoside phosphorylase-like%2C transcript variant X3","transcript_id=XM_022430339.1","","","","",""
"3","XM_022430457.1","sp|Q8IZ69|TRM2A_HUMAN",46.25,547,273,5,308,1939,60,588,8e-168,506,"NC_035784.1",10016144,10016146,"-",-59,"NC_035784.1",10016130,10016464,"NC_035784.1","Gnomon","mRNA",9998359,10021473,".","+",".","ID=rna29896;Parent=gene17381;Dbxref=GeneID:111099097,Genbank:XM_022430457.1;Name=XM_022430457.1;gbkey=mRNA;gene=LOC111099097;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=tRNA (uracil-5-)-methyltransferase homolog A-like%2C transcript variant X1;transcript_id=XM_022430457.1",2,"ID=rna29896","Parent=gene17381","Dbxref=GeneID:111099097","Genbank","Name=XM_022430457.1","gbkey=mRNA","gene=LOC111099097","model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=tRNA (uracil-5-)-methyltransferase homolog A-like%2C transcript variant X1","transcript_id=XM_022430457.1","","","","",""
"4","XM_022430459.1","sp|Q8IZ69|TRM2A_HUMAN",46.25,547,273,5,346,1977,60,588,1e-167,506,"NC_035784.1",10016144,10016146,"-",-59,"NC_035784.1",10016130,10016464,"NC_035784.1","Gnomon","mRNA",10002512,10021473,".","+",".","ID=rna29898;Parent=gene17381;Dbxref=GeneID:111099097,Genbank:XM_022430459.1;Name=XM_022430459.1;gbkey=mRNA;gene=LOC111099097;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=tRNA (uracil-5-)-methyltransferase homolog A-like%2C transcript variant X2;transcript_id=XM_022430459.1",2,"ID=rna29898","Parent=gene17381","Dbxref=GeneID:111099097","Genbank","Name=XM_022430459.1","gbkey=mRNA","gene=LOC111099097","model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=tRNA (uracil-5-)-methyltransferase homolog A-like%2C transcript variant X2","transcript_id=XM_022430459.1","","","","",""
"5","XM_022430460.1","sp|Q8IZ69|TRM2A_HUMAN",46.25,547,273,5,264,1895,60,588,5e-168,506,"NC_035784.1",10016144,10016146,"-",-59,"NC_035784.1",10016130,10016464,"NC_035784.1","Gnomon","mRNA",9998635,10021473,".","+",".","ID=rna29897;Parent=gene17381;Dbxref=GeneID:111099097,Genbank:XM_022430460.1;Name=XM_022430460.1;gbkey=mRNA;gene=LOC111099097;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns;product=tRNA (uracil-5-)-methyltransferase homolog A-like%2C transcript variant X3;transcript_id=XM_022430460.1",2,"ID=rna29897","Parent=gene17381","Dbxref=GeneID:111099097","Genbank","Name=XM_022430460.1","gbkey=mRNA","gene=LOC111099097","model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 3 samples with support for all annotated introns","product=tRNA (uracil-5-)-methyltransferase homolog A-like%2C transcript variant X3","transcript_id=XM_022430460.1","","","","",""
"6","XM_022430572.1","sp|P12785|FAS_RAT",29.66,1133,693,31,136,3306,1,1105,1e-121,432,"NC_035784.1",39634496,39634498,"+",78,"NC_035784.1",39633981,39634700,"NC_035784.1","Gnomon","mRNA",39631141,39653785,".","+",".","ID=rna33515;Parent=gene19444;Dbxref=GeneID:111099168,Genbank:XM_022430572.1;Name=XM_022430572.1;gbkey=mRNA;gene=LOC111099168;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=fatty acid synthase-like%2C transcript variant X1;transcript_id=XM_022430572.1",2,"ID=rna33515","Parent=gene19444","Dbxref=GeneID:111099168","Genbank","Name=XM_022430572.1","gbkey=mRNA","gene=LOC111099168","model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=fatty acid synthase-like%2C transcript variant X1","transcript_id=XM_022430572.1","","","","",""
"7","XM_022430572.1","sp|P12785|FAS_RAT",24.12,311,182,6,4726,5631,2232,2497,2e-09,67,"NC_035784.1",39634496,39634498,"+",78,"NC_035784.1",39633981,39634700,"NC_035784.1","Gnomon","mRNA",39631141,39653785,".","+",".","ID=rna33515;Parent=gene19444;Dbxref=GeneID:111099168,Genbank:XM_022430572.1;Name=XM_022430572.1;gbkey=mRNA;gene=LOC111099168;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=fatty acid synthase-like%2C transcript variant X1;transcript_id=XM_022430572.1",2,"ID=rna33515","Parent=gene19444","Dbxref=GeneID:111099168","Genbank","Name=XM_022430572.1","gbkey=mRNA","gene=LOC111099168","model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns","product=fatty acid synthase-like%2C transcript variant X1","transcript_id=XM_022430572.1","","","","",""
"8","XM_022430650.1","sp|Q96AY4|TTC28_HUMAN",56.56,1906,775,13,694,6309,58,1944,0,2114,"NC_035784.1",27675692,27675694,"+",58,"NC_035784.1",27674190,27688752,"NC_035784.1","Gnomon","mRNA",27673767,27721261,".","+",".","ID=rna31925;Parent=gene18539;Dbxref=GeneID:111099218,Genbank:XM_022430650.1;Name=XM_022430650.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 21 bases in 19 codons;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC111099218;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 2 Proteins%2C and 94%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 21 samples with support for all annotated introns;product=tetratricopeptide repeat protein 28-like;transcript_id=XM_022430650.1",2,"ID=rna31925","Parent=gene18539","Dbxref=GeneID:111099218","Genbank","Name=XM_022430650.1","Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 21 bases in 19 codons","exception=unclassified transcription discrepancy","gbkey=mRNA","gene=LOC111099218","model_evidence=Supporting evidence includes similarity to: 1 EST%2C 2 Proteins%2C and 94%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 21 samples with support for all annotated introns","product=tetratricopeptide repeat protein 28-like","transcript_id=XM_022430650.1","","",""
"9","XM_022430695.1","sp|O00411|RPOM_HUMAN",26.23,122,60,6,333,668,865,966,4,34.3,"NC_035785.1",43459484,43459486,"+",-54,"NC_035785.1",43455624,43461544,"NC_035785.1","Gnomon","mRNA",43449515,43467473,".","+",".","ID=rna43763;Parent=gene25190;Dbxref=GeneID:111099417,Genbank:XM_022430695.1;Name=XM_022430695.1;gbkey=mRNA;gene=LOC111099417;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns;product=uncharacterized LOC111099417;transcript_id=XM_022430695.1",2,"ID=rna43763","Parent=gene25190","Dbxref=GeneID:111099417","Genbank","Name=XM_022430695.1","gbkey=mRNA","gene=LOC111099417","model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 10 samples with support for all annotated introns","product=uncharacterized LOC111099417","transcript_id=XM_022430695.1","","","","",""
"10","XM_022430727.1","sp|P34528|YM67_CAEEL",35.27,499,282,13,147,1574,30,510,6e-92,298,"NC_035785.1",33662556,33662558,"-",-55,"NC_035785.1",33662360,33663322,"NC_035785.1","Gnomon","mRNA",33658751,33664874,".","+",".","ID=rna42706;Parent=gene24637;Dbxref=GeneID:111099446,Genbank:XM_022430727.1;Name=XM_022430727.1;gbkey=mRNA;gene=LOC111099446;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 4 Proteins%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 25 samples with support for all annotated introns;product=putative serine protease K12H4.7;transcript_id=XM_022430727.1",2,"ID=rna42706","Parent=gene24637","Dbxref=GeneID:111099446","Genbank","Name=XM_022430727.1","gbkey=mRNA","gene=LOC111099446","model_evidence=Supporting evidence includes similarity to: 1 EST%2C 4 Proteins%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 25 samples with support for all annotated introns","product=putative serine protease K12H4.7","transcript_id=XM_022430727.1","","","","",""
