"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"388","NC_035780.1",265029,265029,"-",6.14439044690063e-16,1.83366595198977e-13,63.6889832143546
"1104","NC_035780.1",346073,346073,"-",1.24956193351882e-17,5.0825686889078e-15,54.4285714285714
"1489","NC_035780.1",549843,549843,"+",1.53289621551268e-10,1.54486075981152e-08,-51.1984185816654
"1771","NC_035780.1",571095,571095,"-",1.08394008191339e-13,2.15988350117535e-11,53.6312056737589
"1772","NC_035780.1",571139,571139,"+",3.22128184926701e-13,5.82128033847533e-11,58.8235294117647
"2151","NC_035780.1",620089,620089,"+",9.41103743364594e-05,0.00151393043652075,-52.3809523809524
"2388","NC_035780.1",635914,635914,"-",5.06817276019029e-05,0.000922739924738074,-51.2087912087912
"3056","NC_035780.1",990997,990997,"-",1.86232082288855e-12,2.87945737259139e-10,-50.6290115532734
"3068","NC_035780.1",993015,993015,"+",4.17289687092306e-06,0.00011606115477931,-59.2592592592593
"3166","NC_035780.1",1887092,1887092,"+",4.44966652199465e-08,2.33686161943363e-06,53.3333333333333
"3654","NC_035780.1",1959000,1959000,"-",9.98599469725575e-53,1.82780270240988e-48,67.3767824262407
"3731","NC_035780.1",1983258,1983258,"-",2.26325857099502e-11,2.75124703077601e-09,-60.4651162790698
"3736","NC_035780.1",1983265,1983265,"+",2.80532699498825e-05,0.000569085222427617,53.3333333333333
"4704","NC_035780.1",2584493,2584493,"+",4.64712592123098e-39,2.48089979280325e-35,57.0082265958555
"4739","NC_035780.1",2586509,2586509,"+",3.11676613997988e-27,4.64346086729529e-24,-52.8040540540541
"4740","NC_035780.1",2586510,2586510,"-",6.68204278873769e-20,3.90337824628087e-17,-50.9640341119763
"4755","NC_035780.1",2588796,2588796,"-",2.2410904392414e-26,2.97042549445351e-23,-60.9768907563025
"4766","NC_035780.1",2589700,2589700,"+",9.39657011551247e-45,8.39959181893451e-41,-50.9691144027734
"4768","NC_035780.1",2589721,2589721,"+",4.40045526063285e-57,1.05714584201615e-52,54.1772248004631
"4769","NC_035780.1",2589722,2589722,"-",5.33231681229397e-12,7.45316145724094e-10,60.7692307692308
"4902","NC_035780.1",2689286,2689286,"-",0.000115428331735815,0.00177820464944051,54.5454545454545
"4905","NC_035780.1",2689877,2689877,"+",5.64741297660591e-07,2.12984211858624e-05,-51.3305322128851
"5335","NC_035780.1",2756907,2756907,"+",6.88777834476143e-17,2.44912384929619e-14,-58.8996399639964
"5336","NC_035780.1",2756908,2756908,"-",6.48370606286763e-15,1.62781634905752e-12,-56.4534231200898
"5574","NC_035780.1",2936329,2936329,"+",1.67140880800591e-07,7.46341699077274e-06,55.6547619047619
"5576","NC_035780.1",2936342,2936342,"+",1.40240558009474e-08,8.54282580036363e-07,65.3846153846154
"5946","NC_035780.1",3836330,3836330,"-",3.31796971917265e-06,9.58193822180063e-05,61.1111111111111
"6282","NC_035780.1",4286287,4286287,"+",2.12960100962283e-44,1.86038507310132e-40,55.5036173555482
"6293","NC_035780.1",4288214,4288214,"+",1.05495233455944e-09,8.60567289771034e-08,-59.5029239766082
"6318","NC_035780.1",4289561,4289561,"+",2.33441577258996e-07,9.95777933216332e-06,-51.6374269005848
"6324","NC_035780.1",4289629,4289629,"+",1.28133165852814e-13,2.50134225232418e-11,-55.6763925729443
